X,Y,Name,Abbr
-121.8910941,37.41028236,Milpitas,MLPT
-121.8746938,37.36847829,Berryessa/North San Jose,BERY
-122.4139364,37.77939386,Civic Center/UN Plaza,CIVC
-122.029062,37.97382499,Concord,CONC
-122.4662232,37.68462161,Colma,COLM
-122.2989484,37.90263523,El Cerrito Plaza,PLZA
-122.4689119,37.70633321,Daly City,DALY
-122.0245523,38.00332452,North Concord/Martinez,NCON
-121.9766264,37.55747443,Fremont,FRMT
-122.4337901,37.73311239,Glen Park,GLEN
-122.08696,37.66969738,Hayward,HAYW
-122.3169151,37.92519242,El Cerrito del Norte,DELN
-122.1968592,37.75368875,Coliseum,COLS
-122.2681588,37.87031611,Downtown Berkeley,DBRK
-122.1264596,37.6969162,Bay Fair,BAYF
-122.4475874,37.72135059,Balboa Park,BALB
-122.4162667,37.63770374,San Bruno,SBRN
-122.0571973,37.63435057,South Hayward,SHAY
-122.0673294,37.90581393,Walnut Creek,WCRK
-122.2835441,37.87400976,North Berkeley,NBRK
-122.1837537,37.87843137,Orinda,ORIN
-122.2951608,37.80488709,West Oakland,WOAK
-122.1607507,37.72178541,San Leandro,SANL
-122.4197081,37.76505424,16th St/Mission,16TH
-122.4184679,37.75223145,24th St/Mission,24TH
-122.271676,37.80359016,12th St/Oakland City Center,12TH
-122.017256,37.59073432,Union City,UCTY
-121.9280771,37.6997507,West Dublin/Pleasanton,WDUB
-122.3868505,37.6001941,Millbrae,MLBR
-122.4011747,37.78944952,Montgomery St,MONT
-121.899074,37.70168178,Dublin/Pleasanton,DUBL
-122.2652268,37.79729295,Lake Merritt,LAKE
-122.0559784,37.9284418,Pleasant Hill/Contra Costa Centre,PHIL
-122.2670635,37.8290833,MacArthur,MCAR
-122.4070177,37.7848709,Powell St,POWL
-122.3529766,37.93676313,Richmond,RICH
-122.2513146,37.84473931,Rockridge,ROCK
-122.3924141,37.61599768,San Francisco International Airport,SFIA
-122.396901,37.79285391,Embarcadero,EMBR
-121.9439801,38.0189142,Pittsburg/Bay Point,PITT
-122.0756067,37.69074798,Castro Valley,CAST
-122.1246473,37.89318568,Lafayette,LAFY
-122.4439777,37.66421054,South San Francisco,SSAN
-122.268654,37.80849329,19th St/Oakland,19TH
-122.269994,37.85257465,Ashby,ASHB
-122.2241794,37.77489446,Fruitvale,FTVL
-122.2124402,37.71297182,Oakland International Airport,OAKL
-121.939433,37.50233497,Warm Springs/South Fremont,WARM
-121.7804334,37.99539273,Antioch,ANTC
-121.8894702,38.01694606,Pittsburg Center,PCTR
